Name,Platform,Publisher,Developer,Genre,Rating,Year_of_Release,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Grand Theft Auto: Vice City,PS2,Take-Two Interactive,Rockstar North,Action,M,2002,95,62,8.7,730,16.15
Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,,Role-Playing,,2002,,,,,15.85
Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Nintendo,Puzzle,E,2005,77,37,7.1,19,15.29
Pokemon Black/Pokemon White,DS,Nintendo,,Role-Playing,,2010,,,,,15.14
Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,Polyphony Digital,Racing,E,2001,95,54,8.4,314,14.98
Call of Duty: Modern Warfare 3,X360,Activision,"Infinity Ward, Sledgehammer Games",Shooter,M,2011,88,81,3.4,8713,14.73
Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,,Role-Playing,,1998,,,,,14.64
Call of Duty: Black Ops 3,PS4,Activision,,Shooter,,2015,,,,,14.63
Call of Duty: Black Ops,X360,Activision,Treyarch,Shooter,M,2010,87,89,6.3,1454,14.61
Pokemon X/Pokemon Y,3DS,Nintendo,,Role-Playing,,2013,,,,,14.6
Call of Duty: Black Ops II,PS3,Activision,Treyarch,Shooter,M,2012,83,21,5.3,922,13.79
Call of Duty: Black Ops II,X360,Activision,Treyarch,Shooter,M,2012,83,73,4.8,2256,13.67
Call of Duty: Modern Warfare 2,X360,Activision,Infinity Ward,Shooter,M,2009,94,100,6.3,2698,13.47
Call of Duty: Modern Warfare 3,PS3,Activision,"Infinity Ward, Sledgehammer Games",Shooter,M,2011,88,39,3.2,5234,13.32
Grand Theft Auto III,PS2,Take-Two Interactive,DMA Design,Action,M,2001,97,56,8.5,664,13.1
Super Smash Bros. Brawl,Wii,Nintendo,Game Arts,Fighting,T,2008,93,81,8.9,1662,12.84
Mario Kart 7,3DS,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",Racing,E,2011,85,73,8.2,632,12.66
Call of Duty: Black Ops,PS3,Activision,Treyarch,Shooter,M,2010,88,58,6.4,1094,12.63
Grand Theft Auto V,PS4,Take-Two Interactive,Rockstar North,Action,M,2014,97,66,8.3,2899,12.61
Animal Crossing: Wild World,DS,Nintendo,Nintendo,Simulation,E,2005,86,57,8.7,242,12.13
Halo 3,X360,Microsoft Game Studios,"Bungie Software, Bungie",Shooter,M,2007,94,86,7.8,4100,12.12
Super Mario 64,N64,Nintendo,,Platform,,1996,,,,,11.89
Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,,Action,,2009,,,,,11.77
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,,Role-Playing,,2014,,,,,11.68
Gran Turismo 4,PS2,Sony Computer Entertainment,Polyphony Digital,Racing,E,2004,89,74,8.5,272,11.66
Super Mario Galaxy,Wii,Nintendo,Nintendo,Platform,E,2007,97,73,8.9,2147,11.35
Super Mario Land 2: 6 Golden Coins,GB,Nintendo,,Adventure,,1992,,,,,11.18
Grand Theft Auto IV,X360,Take-Two Interactive,Rockstar North,Action,M,2008,98,86,7.9,2951,11.01
Gran Turismo,PS,Sony Computer Entertainment,Polyphony Digital,Racing,E,1997,96,16,8.7,138,10.95
Super Mario 3D Land,3DS,Nintendo,Nintendo,Platform,E,2011,90,82,8.4,921,10.81
Gran Turismo 5,PS3,Sony Computer Entertainment,Polyphony Digital,Racing,E,2010,84,82,7.5,1112,10.7
Call of Duty: Modern Warfare 2,PS3,Activision,Infinity Ward,Shooter,M,2009,94,67,6.3,2073,10.6
Super Mario All-Stars,SNES,Nintendo,,Platform,,1993,,,,,10.55
Grand Theft Auto IV,PS3,Take-Two Interactive,Rockstar North,Action,M,2008,98,64,7.5,2833,10.5
Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,,Role-Playing,,2004,,,,,10.49
Super Mario 64,DS,Nintendo,,Platform,,2004,,,,,10.3
Call of Duty: Ghosts,X360,Activision,Infinity Ward,Shooter,M,2013,73,29,2.6,2117,10.25
Just Dance 3,Wii,Ubisoft,Ubisoft,Misc,E10+,2011,74,15,7.8,16,10.12
New Super Mario Bros. 2,3DS,Nintendo,Nintendo,Platform,E,2012,78,70,7.2,424,9.9
Mario Kart 64,N64,Nintendo,,Racing,,1996,,,,,9.87
Halo: Reach,X360,Microsoft Game Studios,Bungie,Shooter,M,2010,91,99,7.9,2045,9.86
Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,Role-Playing,T,1997,92,20,9.2,1282,9.72
Halo 4,X360,Microsoft Game Studios,343 Industries,Shooter,M,2012,87,87,7,3260,9.71
Gran Turismo 2,PS,Sony Computer Entertainment,Polyphony Digital,Racing,T,1999,93,23,9,135,9.49
Just Dance 2,Wii,Ubisoft,Ubisoft,Misc,E10+,2010,74,24,7.3,24,9.44
Call of Duty: Ghosts,PS3,Activision,Infinity Ward,Shooter,M,2013,71,10,2.6,1047,9.36
Call of Duty 4: Modern Warfare,X360,Activision,Infinity Ward,Shooter,M,2007,94,70,8.4,1320,9.31
Donkey Kong Country,SNES,Nintendo,,Platform,,1994,,,,,9.3
Minecraft,X360,Microsoft Game Studios,,Misc,,2013,,,,,9.18
Animal Crossing: New Leaf,3DS,Nintendo,Nintendo,Simulation,E,2012,88,70,8.7,626,9.16
Mario Party DS,DS,Nintendo,Hudson Soft,Misc,E,2007,72,27,7.8,85,8.91
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2011,96,89,8.4,3589,8.79
Super Mario Kart,SNES,Nintendo,,Racing,,1992,,,,,8.76
FIFA 16,PS4,Electronic Arts,EA Sports,Sports,E,2015,82,42,4.3,896,8.57
Halo 2,XB,Microsoft Game Studios,Bungie Software,Shooter,M,2004,95,91,8.2,1218,8.49
Wii Party,Wii,Nintendo,Nd Cube,Misc,E,2010,68,42,7.4,54,8.38
Mario Party 8,Wii,Nintendo,Hudson,Misc,E,2007,62,41,6.3,190,8.27
FIFA Soccer 13,PS3,Electronic Arts,Electronic Arts,Action,E,2012,88,37,6.6,348,8.16
GoldenEye 007,N64,Nintendo,,Shooter,,1997,,,,,8.09
Pokemon Black 2/Pokemon White 2,DS,Nintendo,,Role-Playing,,2012,,,,,8.07
Final Fantasy X,PS2,Sony Computer Entertainment,SquareSoft,Role-Playing,T,2001,92,53,8.7,1056,8.05
The Sims 3,PC,Electronic Arts,The Sims Studio,Simulation,T,2009,86,75,7.6,886,8.01
Mario & Sonic at the Olympic Games,Wii,Sega,,Sports,,2007,,,,,7.99
Star Wars Battlefront (2015),PS4,Electronic Arts,,Shooter,,2015,,,,,7.98
Final Fantasy VIII,PS,SquareSoft,SquareSoft,Role-Playing,T,1999,90,24,8.6,644,7.86
Pac-Man,2600,Atari,,Puzzle,,1982,,,,,7.81
Pokémon Platinum Version,DS,Nintendo,Game Freak,Role-Playing,E,2008,83,46,8.5,203,7.72
Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,Rockstar Leeds,Action,M,2005,88,65,7.6,451,7.69
Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,Shooter,M,2014,83,39,5.7,1443,7.66
The Legend of Zelda: Ocarina of Time,N64,Nintendo,,Action,,1998,,,,,7.6
FIFA 17,PS4,Electronic Arts,"EA Sports, EA Vancouver",Sports,E,2016,85,41,5,398,7.59
Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,,Platform,,1997,,,,,7.58
Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,,Fighting,,2014,,,,,7.55
Super Mario Galaxy 2,Wii,Nintendo,Nintendo EAD Tokyo,Platform,E,2010,97,87,9.1,1854,7.51
Super Mario Bros. 2,NES,Nintendo,,Platform,,1988,,,,,7.46
Call of Duty: Black Ops 3,XOne,Activision,,Shooter,,2015,,,,,7.39
Call of Duty: World at War,X360,Activision,Treyarch,Shooter,M,2008,84,84,7.6,580,7.38
Battlefield 3,X360,Electronic Arts,EA DICE,Shooter,M,2011,84,57,7.4,2142,7.32
Need for Speed Underground,PS2,Electronic Arts,EA Black Box,Racing,E,2003,85,33,8.6,171,7.2
Just Dance,Wii,Ubisoft,Ubisoft Paris,Misc,E10+,2009,49,21,8,110,7.2
Battlefield 3,PS3,Electronic Arts,EA DICE,Shooter,M,2011,85,38,7.5,1761,7.17
Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2015,87,58,6.5,4228,7.16
Tekken 3,PS,Sony Computer Entertainment,Namco,Fighting,T,1998,96,15,9.1,367,7.16
The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo,Action,T,2006,95,73,9,1658,7.15
Pokemon Sun/Moon,3DS,Nintendo,,Role-Playing,,2016,,,,,7.14
Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Naughty Dog,Platform,E,1998,91,12,8.9,432,7.13
Mario Kart 8,WiiU,Nintendo,Nintendo,Racing,E,2014,88,82,9.1,1599,7.09
Super Smash Bros. Melee,GC,Nintendo,HAL Labs,Fighting,T,2001,92,38,9.1,568,7.07
Mario Kart: Double Dash!!,GC,Nintendo,,Racing,,2003,,,,,6.95
Need for Speed Underground 2,PS2,Electronic Arts,EA Canada,Racing,E,2004,82,39,8.6,132,6.9
Medal of Honor: Frontline,PS2,Electronic Arts,EA LA,Shooter,T,2002,88,29,8.5,135,6.83
Crash Bandicoot,PS,Sony Computer Entertainment,,Platform,,1996,,,,,6.82
Just Dance 4,Wii,Ubisoft,Ubisoft,Misc,E10+,2012,74,10,7.3,28,6.76
Gears of War 2,X360,Microsoft Game Studios,Epic Games,Shooter,M,2008,93,90,7.7,2739,6.75
Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Naughty Dog,Action,T,2011,92,97,8.3,3712,6.74
Zumba Fitness,Wii,505 Games,"Pipeworks Software, Inc.",Sports,E,2010,,,tbd,,6.71
Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,Shooter,M,2007,94,44,8.4,993,6.68
Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Naughty Dog,Action,T,2009,96,105,8.8,5187,6.66
FIFA 12,PS3,Electronic Arts,,Sports,,2011,,,,,6.65
Big Brain Academy,DS,Nintendo,Nintendo,Misc,E,2005,74,45,7.4,27,6.62
The Legend of Zelda,NES,Nintendo,,Action,,1986,,,,,6.51
Red Dead Redemption,PS3,Take-Two Interactive,Rockstar San Diego,Action,M,2010,95,73,8.8,2456,6.49
FIFA 14,PS3,Electronic Arts,EA Canada,Sports,E,2013,86,37,4.3,576,6.47
Assassin's Creed III,PS3,Ubisoft,Ubisoft,Action,M,2012,85,41,6.9,1307,6.45
Donkey Kong Country Returns,Wii,Nintendo,Retro Studios,Platform,E,2010,87,77,8.6,368,6.44
Halo: Combat Evolved,XB,Microsoft Game Studios,Bungie Software,Shooter,M,2001,97,68,8.6,1283,6.43
The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2011,92,16,6.4,2527,6.41
Pokémon Emerald Version,GBA,Nintendo,Game Freak,Role-Playing,E,2004,76,28,9,222,6.41
Kingdom Hearts,PS2,Sony Computer Entertainment,SquareSoft,Role-Playing,E,2002,85,46,8.8,597,6.4
Pokémon Crystal Version,GB,Nintendo,,Role-Playing,,2000,,,,,6.39
Halo 3: ODST,X360,Microsoft Game Studios,"Bungie Software, Bungie",Shooter,M,2009,83,94,7.1,1163,6.34
Red Dead Redemption,X360,Take-Two Interactive,Rockstar San Diego,Action,M,2010,95,96,9,2316,6.32
Super Mario Sunshine,GC,Nintendo,Nintendo,Platform,E,2002,92,61,8.6,439,6.31
Street Fighter II: The World Warrior,SNES,Capcom,,Fighting,,1992,,,,,6.3
World of Warcraft,PC,Activision,Blizzard Entertainment,Role-Playing,T,2004,93,57,7.3,2182,6.29
Driver,PS,GT Interactive,Reflections Interactive,Action,T,1999,87,22,8.1,78,6.27
Gears of War 3,X360,Microsoft Game Studios,Epic Games,Shooter,M,2011,91,96,7.8,1504,6.21
Kinect Sports,X360,Microsoft Game Studios,Rare Ltd.,Sports,E10+,2010,73,51,7.4,95,6.19
Gears of War,X360,Microsoft Game Studios,Epic Games,Shooter,M,2006,94,88,8.3,2295,6.09
FIFA 15,PS4,Electronic Arts,EA Sports,Sports,E,2014,82,47,5.7,988,6.08
Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,KCEJ,Action,M,2001,96,42,8.7,1026,6.05
Sonic the Hedgehog 2,GEN,Sega,,Platform,,1992,,,,,6.03
Metal Gear Solid,PS,Konami Digital Entertainment,KCEJ,Action,M,1998,94,20,9.4,918,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,Kojima Productions,Action,M,2008,94,82,8.7,3558,5.99
Final Fantasy XII,PS2,Square Enix,Square Enix,Role-Playing,T,2006,92,64,7.6,972,5.95
The Last of Us,PS3,Sony Computer Entertainment Europe,Naughty Dog,Action,M,2013,95,98,9.1,8003,5.87
LittleBigPlanet,PS3,Sony Computer Entertainment,"SCE/WWS, Media Molecule",Platform,E,2008,95,85,6.8,5311,5.82
Resident Evil 2,PS,Virgin Interactive,Capcom,Action,M,1998,89,13,9.2,364,5.82
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,Role-Playing,E10+,2009,87,65,8.8,197,5.78
Tekken 2,PS,Sony Computer Entertainment,Namco,Fighting,T,1996,89,8,8.9,102,5.74
Destiny,PS4,Activision,"Bungie Software, Bungie",Shooter,T,2014,76,95,6.1,5380,5.64
LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,Action,E10+,2007,80,17,8.9,62,5.64
Cooking Mama,DS,505 Games,Taito Corporation,Simulation,E,2006,67,35,7.2,21,5.63
Tetris,NES,Nintendo,,Puzzle,,1988,,,,,5.58
Super Smash Bros.,N64,Nintendo,,Fighting,,1999,,,,,5.55
Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,Action,M,2009,91,70,8.6,1202,5.55
Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,Adventure,M,2007,81,77,7.7,1074,5.54
Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10,Racing,E,2009,92,90,8,516,5.49
Super Mario Advance,GBA,Nintendo,Nintendo,Platform,E,2001,84,19,7.8,41,5.49
Monster Hunter Freedom Unite,PSP,Capcom,Capcom,Role-Playing,T,2008,81,48,8.7,124,5.48
Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,Rocksteady Studios,Action,T,2011,96,42,8.6,2162,5.48
Grand Theft Auto V,XOne,Take-Two Interactive,Rockstar North,Action,M,2014,97,14,7.9,764,5.48
Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,Racing,E,2001,93,24,8.3,108,5.47
Super Mario World,GBA,Nintendo,,Platform,,2001,,,,,5.46
Pokemon Stadium,N64,Nintendo,,Strategy,,1999,,,,,5.45
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,Platform,E,2001,66,22,7.1,156,5.42
Call of Duty: World at War,PS3,Activision,Treyarch,Shooter,M,2008,85,45,7.6,409,5.39
Uncharted 4: A Thief's End,PS4,Sony Computer Entertainment,Naughty Dog,Shooter,T,2016,93,113,7.9,7064,5.38
Dr. Mario,GB,Nintendo,,Puzzle,,1989,,,,,5.34
Final Fantasy XIII,PS3,Square Enix,Square Enix,Role-Playing,T,2009,83,83,7.3,2483,5.33
Pokemon Pinball,GB,Nintendo,,Misc,,1999,,,,,5.31
Final Fantasy IX,PS,SquareSoft,SquareSoft,Role-Playing,T,2000,94,22,8.9,779,5.3
Assassin's Creed III,X360,Ubisoft,Ubisoft,Action,M,2012,84,61,6.7,1196,5.29
Final Fantasy X-2,PS2,Electronic Arts,SquareSoft,Role-Playing,T,2003,85,45,6.6,400,5.29
Donkey Kong 64,N64,Nintendo,,Platform,,1999,,,,,5.27
Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,Shooter,M,2014,81,53,5.4,898,5.27
Minecraft,PS3,Sony Computer Entertainment,,Misc,,2014,,,,,5.26
Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,Action,M,2009,90,82,8.8,1305,5.26
Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,Action,T,1997,85,13,,,5.24
Madden NFL 2004,PS2,Electronic Arts,EA Tiburon,Sports,E,N/A,94,29,8.5,140,5.23
Tomodachi Life,3DS,Nintendo,,Simulation,,2013,,,,,5.23
New Super Mario Bros. U,WiiU,Nintendo,Nintendo,Platform,E,2012,84,70,8.1,733,5.22
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5,Role-Playing,T,2004,89,63,8.8,245,5.21
Super Mario Bros. 3,GBA,Nintendo,,Platform,,2003,,,,,5.2
Professor Layton and the Curious Village,DS,Nintendo,Level 5,Puzzle,E,2007,85,72,8.6,147,5.19
Super Mario Land 3: Wario Land,GB,Nintendo,,Platform,,1994,,,,,5.19
FIFA Soccer 13,X360,Electronic Arts,Electronic Arts,Action,E,2012,90,48,6.1,403,5.16
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,,Platform,,1995,,,,,5.15
Diablo III,PC,Activision,Blizzard Entertainment,Role-Playing,M,2012,88,86,4,9629,5.14
Medal of Honor: Rising Sun,PS2,Electronic Arts,EA LA,Shooter,T,2003,68,30,7.6,100,5.13
Kirby's Dream Land,GB,Nintendo,,Platform,,1992,,,,,5.13
Microsoft Flight Simulator,PC,Microsoft Game Studios,,Simulation,,1996,,,,,5.12
Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,Misc,T,2006,92,69,8.5,112,5.12
Fable III,X360,Microsoft Game Studios,Lionhead Studios,Role-Playing,M,2010,80,88,6.5,604,5.1
Mario & Sonic at the Olympic Games,DS,Sega,,Sports,,2008,,,,,5.09
Resident Evil 5,PS3,Capcom,Capcom,Action,M,2009,84,76,7.5,667,5.09
The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo,Action,E,2007,90,57,8,416,5.08
Super Mario Bros.,GB,Nintendo,,Platform,,1999,,,,,5.07
FIFA Soccer 11,PS3,Electronic Arts,EA Sports,Sports,E,2010,89,51,8,233,5.07
Resident Evil,PS,Virgin Interactive,Capcom,Action,M,1996,91,8,9,266,5.05
Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive,Rockstar Leeds,Action,M,2006,86,50,8,150,5.03
Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,Sports,T,1999,92,18,9.2,69,5.02
Warzone 2100,PS,Eidos Interactive,,Strategy,,1999,,,,,5.01
Spyro the Dragon,PS,Sony Computer Entertainment,,Platform,,1998,,,,,5
Guitar Hero III: Legends of Rock,PS2,Activision,"Neversoft Entertainment, BudCat",Misc,T,2007,82,24,8.2,46,4.98
Link's Crossbow Training,Wii,Nintendo,Nintendo,Shooter,T,2007,68,34,7.1,47,4.98
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Nintendo,,Role-Playing,,2007,,,,,4.93
Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2008,93,84,8.5,1655,4.93
Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,"Naughty Dog, SCE/WWS",Action,T,2007,88,66,8.1,2306,4.92
Madden NFL 06,PS2,Electronic Arts,EA Sports,Sports,E,2005,88,29,8,121,4.91
Diddy Kong Racing,N64,Nintendo,,Racing,,1997,,,,,4.88
Monster Hunter Freedom 3,PSP,Capcom,,Role-Playing,,2010,,,,,4.87
Super Smash Bros. for Wii U and 3DS,WiiU,Nintendo,,Fighting,,2014,,,,,4.87
Dr. Mario,NES,Nintendo,,Puzzle,,1990,,,,,4.85
StarCraft II: Wings of Liberty,PC,Activision,Blizzard Entertainment,Strategy,T,2010,93,82,8.2,3052,4.84
Assassin's Creed,PS3,Ubisoft,Ubisoft Montreal,Adventure,M,2007,81,40,7.3,769,4.82
God of War III,PS3,Sony Computer Entertainment,SCE Santa Monica,Action,M,2010,92,101,8.7,2633,4.8
Crash Team Racing,PS,Sony Computer Entertainment,Naughty Dog,Racing,E,1999,88,20,9,233,4.79
LEGO Star Wars: The Complete Saga,DS,LucasArts,TT Fusion,Action,E,2007,80,9,5.4,46,4.76
Driver 2,PS,Atari,Reflections Interactive,Action,T,2000,62,14,7.7,92,4.73
Batman: Arkham City,X360,Warner Bros. Interactive Entertainment,Rocksteady Studios,Action,T,2011,94,87,8.7,1472,4.73
The Last of Us,PS4,Sony Computer Entertainment,,Action,,2014,,,,,4.71
The Simpsons: Hit & Run,PS2,Vivendi Games,,Racing,,2003,,,,,4.7
Tony Hawk's Pro Skater 2,PS,Activision,Neversoft Entertainment,Sports,T,2000,98,19,7.7,299,4.68
The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Stormfront Studios,Action,T,2002,82,32,8.2,78,4.67
Tomb Raider,PS,Eidos Interactive,Core Design Ltd.,Action,T,1996,91,13,8.6,147,4.63
Animal Crossing: City Folk,Wii,Nintendo,Nintendo,Simulation,E,2008,73,50,7.6,119,4.62
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,Action,T,2015,86,78,8.1,1264,4.62
The Legend of Zelda: A Link to the Past,SNES,Nintendo,,Action,,1991,,,,,4.61
The Legend of Zelda: The Wind Waker,GC,Nintendo,Nintendo,Action,E,2002,96,80,8.9,968,4.6
Guitar Hero III: Legends of Rock,Wii,Activision,Vicarious Visions,Misc,T,2007,86,36,8.4,87,4.6
Luigi's Mansion: Dark Moon,3DS,Nintendo,Next Level Games,Action,E,2013,86,74,8.4,458,4.59
Forza Motorsport 4,X360,Microsoft Game Studios,Turn 10,Racing,E,2011,91,83,8.2,617,4.57
Mario & Sonic at the Olympic Winter Games,Wii,Sega,,Sports,,2009,,,,,4.53
Madden NFL 2005,PS2,Electronic Arts,EA Tiburon,Sports,E,2004,91,30,7.9,78,4.53
Guitar Hero III: Legends of Rock,X360,Activision,Neversoft Entertainment,Misc,T,2007,85,69,7.9,165,4.53
Pitfall!,2600,Activision,,Platform,,1981,,,,,4.5
Madden NFL 07,PS2,Electronic Arts,EA Sports,Sports,E,2006,84,29,8.2,39,4.49
Halo 5: Guardians,XOne,Microsoft Game Studios,343 Industries,Shooter,T,2015,84,101,6.4,2438,4.48
Spider-Man: The Movie,PS2,Activision,Treyarch,Action,E,2002,76,25,7.9,41,4.48
Dragon Quest VII: Warriors of Eden,PS,Enix Corporation,,Role-Playing,,2000,,,,,4.47
Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,Shooter,M,2016,77,82,3.4,1129,4.46
God of War,PS2,Sony Computer Entertainment,SCE Santa Monica,Action,M,2005,94,75,8.9,997,4.45
Splatoon,WiiU,Nintendo,Nintendo,Shooter,E10+,2015,81,88,8.5,1184,4.43
Nintendo Land,WiiU,Nintendo,Nintendo,Misc,E10+,2012,77,61,7.9,471,4.42
Tony Hawk's Pro Skater 3,PS2,Activision,Neversoft Entertainment,Sports,T,2001,97,34,7.5,298,4.41
Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami Digital Entertainment,Konami,Sports,E,2006,86,19,8.9,33,4.39
The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,Bethesda Softworks,Role-Playing,M,2006,94,90,8.7,1109,4.38
Zelda II: The Adventure of Link,NES,Nintendo,,Adventure,,1987,,,,,4.38
Need for Speed: Most Wanted,PS2,Electronic Arts,EA Canada,Racing,T,2005,82,36,9.1,137,4.37
Michael Jackson: The Experience,Wii,Ubisoft,"Ubisoft Paris, Ubisoft Montpellier",Misc,E10+,2010,56,37,8.3,31,4.36
Call of Duty: Advanced Warfare,PS3,Activision,High Moon Studios,Shooter,M,2014,,,4.8,207,4.36
Resistance: Fall of Man,PS3,Sony Computer Entertainment,Insomniac Games,Shooter,M,2006,86,70,8.1,715,4.34
Sonic the Hedgehog,GEN,Sega,,Platform,,1991,,,,,4.34
Kingdom Hearts II,PS2,Square Enix,Square Enix,Role-Playing,E10+,2005,87,64,9,766,4.33
The Legend of Zelda: Ocarina of Time,3DS,Nintendo,,Action,,2011,,,,,4.33
Super Mario 3D World,WiiU,Nintendo,Nintendo,Platform,E,2013,93,83,9,1607,4.32
Minecraft,PS4,Sony Computer Entertainment Europe,,Misc,,2014,,,,,4.32
Asteroids,2600,Atari,,Shooter,,1980,,,,,4.31
Call of Duty: Advanced Warfare,X360,Activision,High Moon Studios,Shooter,M,2014,,,4.9,221,4.29
FIFA 15,PS3,Electronic Arts,EA Sports,Sports,E,2014,,,4.5,109,4.28
Fable II,X360,Microsoft Game Studios,Lionhead Studios,Role-Playing,M,2008,89,95,6.5,2423,4.27
Namco Museum,GBA,Namco Bandai Games,Mass Media,Misc,E,2001,79,10,7.3,6,4.24
Batman: Arkham Asylum,PS3,Eidos Interactive,Rocksteady Studios,Action,T,2009,91,70,8.9,1122,4.23
Metal Gear Solid 3: Snake Eater,PS2,Konami Digital Entertainment,KCEJ,Action,M,2004,91,68,9.3,955,4.23
Assassin's Creed: Revelations,PS3,Ubisoft,Ubisoft Montreal,Action,M,2011,80,39,7.5,613,4.22
Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2015,88,39,6.2,1749,4.22
FIFA 14,X360,Electronic Arts,EA Canada,Sports,E,2013,84,41,4.2,435,4.22
